RMS,Variance,Skewness,Kurtosis,CrestFactor,ShapeFactor,ImpulseFactor,MarginFactor,Peak1,Peak2,Peak3,PeakLocs1,PeakLocs2,PeakLocs3,FalutID
1815.308,3296949.0,0.2352089136838913,5.3247056,4.5692453,1.5212154,6.9508066,18.41311,683316.4,530554.5,461912.53,398.4375,375.0,2320.3125,2
1811.5052,3283024.0,0.2122514545917511,5.3528423,4.5788374,1.519077,6.9556065,18.329502,642722.7,481225.5,403123.22,398.4375,375.0,2320.3125,2
1781.2994,3174128.8,0.029555801302194595,5.6786556,4.6564817,1.5319582,7.1335354,19.254248,444367.34,401165.97,365434.1,421.875,1640.625,1617.1875,2
1731.0521,2997786.0,0.008924116380512714,5.4487987,4.0568995,1.5253444,6.188169,18.485485,461266.97,443490.25,426409.25,398.4375,375.0,1101.5625,2
1724.088,2973930.5,-0.023188645020127296,5.520644,4.0732865,1.5410755,6.277242,19.03534,533899.06,479556.53,408567.03,398.4375,375.0,1101.5625,2
1761.37,3103906.0,-0.008619037456810474,5.2526712,3.9870696,1.5297642,6.099276,18.541018,516788.8,403385.5,370829.44,398.4375,375.0,1078.125,2
1776.6434,3157045.0,0.13549122214317322,5.0840893,4.009113,1.5179814,6.0857587,18.269033,396317.6,380171.38,358115.72,2507.8125,2484.375,492.1875,2
1882.014,3543390.2,0.05920897796750069,4.916273,4.0807357,1.5329916,6.2557335,17.325151,607932.94,525238.9,487051.28,398.4375,375.0,1617.1875,2
1883.4078,3548958.0,0.09187199175357819,4.910075,4.077716,1.5286814,6.233528,17.127167,671606.44,611221.5,433421.94,398.4375,375.0,1617.1875,2
1867.7964,3490203.0,0.09322521090507507,4.9710827,4.1117983,1.5228558,6.261676,17.05632,635175.06,580654.0,421758.97,398.4375,375.0,1617.1875,2
1856.98,3449051.5,-0.18439361453056335,5.373307,4.1357484,1.5305717,6.3300595,19.438572,563870.44,562963.7,426725.06,398.4375,421.875,1031.25,2
1911.2692,3654734.0,-0.11480718106031418,6.077717,4.9934897,1.5568945,7.7743373,21.495352,510552.16,458869.56,433546.66,398.4375,2296.875,375.0,2
1912.4509,3659255.2,-0.12639257311820984,6.066001,4.990404,1.5571868,7.7709923,21.512037,548501.0,548404.44,521052.62,398.4375,375.0,2296.875,2
1891.9845,3581310.2,-0.13393254578113556,6.2950926,5.044388,1.5779314,7.959698,22.236359,543697.56,492534.75,437945.97,398.4375,375.0,1453.125,2
1933.809,3741443.5,0.15912173688411713,6.4923053,5.744453,1.5781201,9.065437,22.776556,585013.2,558772.5,541346.8,421.875,2296.875,2273.4375,2
1979.5476,3920366.2,0.05871356651186943,7.1998053,5.611724,1.6018022,8.988873,24.936428,725885.06,657545.9,590368.5,398.4375,375.0,2015.625,2
1976.6078,3908880.2,0.044822048395872116,7.229647,5.6200705,1.5972346,8.97657,24.768652,765840.8,722257.2,587874.06,398.4375,375.0,2015.625,2
1998.6732,3996645.5,0.05134464427828789,6.9663486,5.5580244,1.5803163,8.783437,24.126623,771969.4,622799.2,532104.3,398.4375,375.0,2039.0625,2
2117.1182,4484285.5,0.06590257585048676,6.2706647,4.4628553,1.5771717,7.0386887,21.065748,505382.5,494233.6,446724.9,398.4375,2414.0625,421.875,2
2028.8273,4118026.8,0.31443896889686584,5.5780954,4.6570706,1.5338072,7.143048,19.080988,635181.44,600957.94,417370.97,398.4375,375.0,867.1875,2
2033.7391,4138112.2,0.32497313618659973,5.532467,4.645823,1.5196987,7.060251,18.650146,711659.25,668639.2,460017.1,398.4375,375.0,867.1875,2
2047.1364,4192515.2,0.32032254338264465,5.4235597,4.615419,1.5120366,6.978682,18.39251,713725.94,554825.9,466302.12,398.4375,375.0,843.75,2
2123.3003,4510595.0,-0.2354300320148468,7.559329,4.5246115,1.535449,6.94731,24.67175,612945.3,607905.25,466812.66,421.875,398.4375,820.3125,2
2244.3545,5039241.5,-0.2815626561641693,7.2169194,4.280566,1.5577298,6.6679664,23.961447,675758.75,619840.06,542904.44,398.4375,1804.6875,375.0,2
2253.6387,5081363.5,-0.2898898422718048,7.1246004,4.262932,1.5617969,6.657834,24.176102,740900.3,648282.25,610008.2,398.4375,375.0,1804.6875,2
2236.244,5003106.5,-0.3006637990474701,7.3303194,4.2960916,1.5741864,6.762849,24.562008,661596.44,580566.9,577642.56,398.4375,375.0,1804.6875,2
2139.2224,4578404.5,0.08044087141752243,5.8709135,4.316969,1.5608376,6.7380877,19.87783,599879.25,544486.75,542148.9,421.875,1757.8125,398.4375,2
2088.3809,4363463.5,-0.058555494993925095,5.6459546,4.4220657,1.537075,6.7970467,20.209686,695574.25,446494.3,435224.72,398.4375,773.4375,375.0,2
2084.6082,4347710.0,-0.06509176641702652,5.682138,4.4300685,1.531219,6.7834053,19.942232,724461.44,521096.25,410106.1,398.4375,375.0,773.4375,2
2088.2754,4362893.5,-0.06187694892287254,5.646663,4.422289,1.5318284,6.774188,20.02894,630805.44,460785.03,441586.44,398.4375,375.0,1734.375,2
2229.3064,4972133.0,-0.08884033560752869,5.115158,3.9092789,1.5276326,5.971942,18.34562,691737.4,601052.3,592016.4,421.875,796.875,820.3125,2
2191.167,4803486.0,-0.04376336559653282,5.337522,4.12558,1.5334209,6.32625,19.593302,863956.6,601868.75,559657.5,398.4375,421.875,375.0,2
