TempoLeituraSD,TempoNormalizacao,TempoPreProcessamento,TempoFeatTempo,TempoFFT,TempoFeatFrequencia,TempoInferencia
70344,1172,265,6191,1819,1107,18
70344,1172,7203,6191,1819,1103,16
70344,1172,306,6173,1819,1103,18
70344,1172,308,6168,1819,1105,18
75836,1171,264,6192,1818,1105,19
75836,1171,7208,6188,1819,1106,18
75836,1171,307,6191,1819,1105,18
75836,1171,314,6180,1819,1107,18
70394,1173,264,6191,1820,1105,17
70394,1173,7207,6191,1819,1102,19
70394,1173,308,6191,1819,1106,18
70394,1173,310,6191,1819,1108,18
70420,1172,264,6191,1819,1106,18
70420,1172,8992,6192,1818,1104,19
70420,1172,314,6187,1819,1103,17
70420,1172,310,6191,1820,1106,19
70394,1172,264,6181,1819,1105,18
70394,1172,7201,6167,1819,1108,18
70394,1172,307,6191,1819,1109,18
70394,1172,310,6191,1819,1108,19
70343,1172,264,6191,1819,1107,18
70343,1172,7204,6173,1819,1106,17
70343,1172,312,6190,1819,1106,19
70343,1172,314,6191,1819,1106,19
70306,1172,263,6191,1819,1105,19
70306,1172,7210,6182,1818,1113,18
70306,1172,307,6191,1819,1106,18
70306,1172,312,6182,1819,1107,18
91726,1172,265,6178,1819,1104,18
91726,1172,7218,6191,1819,1102,18
91726,1172,308,6192,1818,1105,17
91726,1172,312,6191,1819,1107,19
70344,1172,264,6191,1819,1106,19
70344,1172,7205,6191,1819,1109,18
70344,1172,310,6191,1819,1106,18
70344,1172,312,6191,1819,1106,18
75924,1172,264,6185,1819,1106,18
75924,1172,7205,6182,1819,1101,18
75924,1172,308,6191,1819,1110,18
75924,1172,308,6191,1820,1106,19
70408,1171,264,6192,1818,1109,19
70408,1171,7207,6191,1819,1106,18
70408,1171,313,6191,1819,1106,18
70408,1171,312,6169,1820,1105,18
79625,1172,264,6191,1819,1107,18
79625,1172,7204,6174,1819,1105,19
79625,1172,315,6169,1819,1110,18
79625,1172,312,6175,1819,1109,18
70345,1172,264,6191,1819,1108,18
70345,1172,7203,6191,1819,1105,18
70345,1172,313,6191,1819,1106,18
70345,1172,312,6191,1818,1106,18
70293,1172,264,6191,1819,1106,18
70293,1172,7205,6191,1819,1105,16
70293,1172,304,6191,1819,1106,17
