RMS,Variance,Skewness,Kurtosis,CrestFactor,ShapeFactor,ImpulseFactor,MarginFactor,Peak1,Peak2,Peak3,PeakLocs1,PeakLocs2,PeakLocs3,Predicted
0.062081,0.003856,0.185485,6.300228,5.537825,1.536899,8.511077,23.840916,22.440062,17.068102,16.048937,398.437500,375.000000,2320.312500,1
0.058813,0.003461,-0.130382,5.817869,3.658862,1.555648,5.691902,20.078028,21.964729,17.387066,14.957380,398.437500,375.000000,2015.625000,1
0.054225,0.002942,0.219794,4.970025,4.039547,1.508074,6.091937,17.315825,20.475351,19.971167,13.451216,375.000000,398.437500,2015.625000,1
0.055411,0.003071,0.217935,5.326347,4.308014,1.526352,6.575546,18.192417,20.858080,16.218214,14.095334,398.437500,375.000000,2320.312500,1
0.059783,0.003507,0.451875,6.247283,4.829970,1.538032,7.428647,21.086262,19.439568,17.003078,16.142082,398.437500,0.000000,375.000000,1
0.060045,0.003605,0.058093,6.304540,4.665479,1.576506,7.355154,21.802473,18.441568,17.249685,14.315877,375.000000,398.437500,2343.750000,1
0.054831,0.003008,-0.183290,5.612913,4.501876,1.537856,6.923239,20.753298,15.690854,15.335153,12.598130,375.000000,398.437500,1500.000000,1
0.052616,0.002770,-0.039900,5.495995,4.000665,1.538614,6.155480,18.826921,16.291437,14.634720,12.472378,398.437500,375.000000,1101.562500,1
0.052652,0.002774,-0.168667,7.194040,4.919332,1.569368,7.720243,24.671427,17.652197,12.846283,11.238071,398.437500,375.000000,632.812500,1
0.053667,0.002853,0.100206,5.014677,4.012581,1.523403,6.112777,16.478317,17.471031,13.376966,11.234073,398.437500,375.000000,2343.750000,1
0.058517,0.003426,0.230536,7.596999,5.278807,1.599744,8.444740,25.607973,14.660795,14.366791,13.999326,2320.312500,375.000000,398.437500,1
0.057467,0.003304,0.075045,4.925269,4.102395,1.525729,6.259140,17.092623,20.452114,18.629141,13.232110,398.437500,375.000000,1617.187500,1
0.057889,0.003353,0.122830,5.406232,3.860469,1.534453,5.923709,18.347851,25.157085,18.834188,13.262052,398.437500,375.000000,796.875000,1
0.059179,0.003498,-0.319596,5.603655,4.572131,1.545706,7.067169,20.723309,19.303631,15.864102,11.830602,398.437500,375.000000,1335.937500,1
0.059758,0.003518,0.333907,5.404120,4.588410,1.524746,6.996161,18.151852,15.455116,15.417640,15.216575,2296.875000,398.437500,0.000000,1
0.059590,0.003505,0.111149,5.794328,5.086717,1.545905,7.863584,20.742941,16.729305,16.726103,15.904892,375.000000,398.437500,2296.875000,1
0.057187,0.003272,-0.097095,5.318914,3.590003,1.542052,5.535972,18.045237,21.078987,18.534164,11.695978,398.437500,375.000000,1429.687500,1
0.056226,0.003163,0.023513,6.255928,5.179183,1.548878,8.021923,22.107260,23.621023,21.627655,13.272997,398.437500,375.000000,1406.250000,1
0.056166,0.003156,0.138925,5.974672,5.474526,1.528270,8.366555,21.096382,23.350416,20.888962,14.193655,398.437500,375.000000,867.187500,1
0.061774,0.003758,0.332382,7.038179,5.674423,1.591407,9.030314,23.280005,23.383760,22.054459,17.940962,398.437500,375.000000,2015.625000,1
0.060004,0.003600,-0.203686,5.961031,4.476012,1.555911,6.964275,19.690287,19.519049,15.119337,13.401503,398.437500,375.000000,2343.750000,1
0.060837,0.003703,0.018510,6.059054,4.627617,1.550180,7.173639,21.048220,16.764851,13.876601,13.500933,398.437500,1171.875000,1945.312500,1
0.062657,0.003867,-0.006083,4.843674,4.165855,1.512519,6.300935,16.984671,15.923524,15.921940,15.766013,0.000000,375.000000,398.437500,1
0.062061,0.003853,0.349562,5.528104,4.653727,1.516921,7.059336,18.540009,21.674149,20.391005,14.038115,398.437500,375.000000,867.187500,1
0.062309,0.003880,0.161382,5.260097,5.192768,1.513150,7.857436,20.059196,26.388714,21.113832,12.977584,398.437500,375.000000,1546.875000,1
0.061483,0.003774,-0.169654,5.384612,3.935464,1.494066,5.879845,19.190266,22.879269,18.761528,14.262014,398.437500,375.000000,914.062500,1
0.066246,0.004353,0.198739,5.412455,4.194819,1.522846,6.388064,17.709723,21.743168,18.138422,16.169020,398.437500,375.000000,914.062500,1
0.068789,0.004734,-0.356841,7.173839,4.181448,1.560748,6.526185,24.126965,22.606253,19.770496,18.615162,398.437500,375.000000,1804.687500,1
0.064634,0.004163,-0.408600,5.399829,3.451278,1.531905,5.287031,17.494589,22.609135,21.565458,15.314680,398.437500,375.000000,1804.687500,1
