RMS,Variance,Skewness,Kurtosis,CrestFactor,ShapeFactor,ImpulseFactor,MarginFactor,Peak1,Peak2,Peak3,PeakLocs1,PeakLocs2,PeakLocs3,FAULT_ID
763.458801,583124.500000,0.442771,5.852889,5.244537,1.524822,7.996987,21.238274,201373.500000,192968.843750,164393.093750,1476.562500,1500.000000,703.125000,4
773.295227,598277.375000,0.078359,5.642454,5.177826,1.539263,7.970034,21.379961,226172.734375,216953.546875,161426.531250,1101.562500,1476.562500,960.937500,4
764.078918,584101.375000,0.079182,5.879728,5.240281,1.569898,8.226705,22.532148,214892.546875,210634.750000,194042.406250,1476.562500,1101.562500,1453.125000,4
766.814453,588269.000000,0.078354,5.796321,5.221587,1.553380,8.111111,21.978363,210037.843750,197557.796875,166427.437500,1101.562500,1476.562500,1453.125000,4
777.704773,605112.625000,0.153629,5.628487,4.848948,1.550128,7.516493,20.631880,219944.046875,208851.343750,206676.703125,1476.562500,1500.000000,1804.687500,3
834.189941,696201.250000,-0.037303,6.227169,4.520614,1.571063,7.102169,21.105179,320578.562500,257342.828125,165923.718750,1476.562500,1453.125000,726.562500,4
840.140259,706180.250000,-0.045348,6.064413,4.488596,1.538954,6.907744,20.017242,326911.250000,281809.687500,173683.531250,1476.562500,1453.125000,2929.687500,4
836.138672,699468.375000,-0.048570,6.166775,4.510077,1.549564,6.988654,20.304050,301509.375000,274161.625000,164792.140625,1476.562500,1453.125000,1570.312500,4
806.731018,651103.500000,-0.314964,6.274823,3.958131,1.558177,6.167467,19.635939,230209.546875,214741.562500,189525.250000,1476.562500,2929.687500,1500.000000,3
732.700745,537056.375000,-0.151775,6.091632,3.790620,1.564621,5.930885,18.765766,211223.046875,159971.031250,156650.578125,1828.125000,1101.562500,1078.125000,3
730.919861,534501.875000,-0.142255,6.142476,3.799856,1.580583,6.005987,19.264315,201846.171875,176917.671875,158932.734375,1828.125000,1851.562500,1078.125000,4
735.075073,540580.750000,-0.139270,6.027860,3.778376,1.565036,5.913295,18.836866,194627.656250,182045.171875,168787.562500,1828.125000,1851.562500,1101.562500,3
722.792542,522684.656250,-0.155678,5.661687,4.000022,1.550012,6.200083,19.265547,220664.046875,155507.781250,153165.000000,1101.562500,2437.500000,1265.625000,4
685.318542,469878.250000,-0.183912,5.297849,4.218749,1.506210,6.354323,17.861565,180000.156250,150710.781250,142488.890625,726.562500,1218.750000,1453.125000,4
687.063538,472285.656250,-0.180196,5.280507,4.208034,1.510292,6.355361,17.920290,173679.656250,157701.468750,147985.656250,726.562500,1101.562500,1218.750000,4
684.448059,468684.843750,-0.177631,5.347714,4.224114,1.530160,6.463572,18.595514,171335.828125,153411.484375,148853.234375,726.562500,1218.750000,1101.562500,4
712.176514,507409.593750,-0.381813,5.950481,4.291990,1.549798,6.651720,20.644243,191912.937500,147987.781250,139239.890625,1476.562500,1875.000000,1101.562500,3
746.962769,558225.750000,-0.246866,5.781630,4.743967,1.542439,7.317281,21.093742,228474.421875,206558.859375,187004.656250,1101.562500,1476.562500,1078.125000,4
745.960938,556727.625000,-0.235942,5.795300,4.750339,1.542580,7.327777,21.138449,217571.078125,198932.984375,193412.484375,1476.562500,1453.125000,1078.125000,4
754.955933,570219.750000,-0.230840,5.571029,4.693740,1.512928,7.101290,20.022961,219349.218750,202339.875000,177759.250000,1476.562500,1101.562500,679.687500,3
708.622253,502364.187500,-0.096391,4.976570,5.000643,1.471824,7.360065,18.949791,263429.531250,204254.718750,187699.187500,1101.562500,1476.562500,1125.000000,3
706.522156,499405.812500,-0.073314,4.898422,3.755134,1.493960,5.610021,17.794216,209558.421875,208091.828125,198395.906250,2929.687500,1148.437500,1476.562500,3
718.583618,516614.343750,-0.072073,4.706759,3.692104,1.478215,5.457723,17.163158,213875.156250,189104.453125,182811.562500,2929.687500,1476.562500,2953.125000,4
713.624084,509488.062500,-0.092259,4.819555,3.717763,1.495431,5.559659,17.683647,194234.890625,171288.062500,168966.218750,2929.687500,1148.437500,984.375000,4
735.480957,541146.500000,0.036974,5.371165,4.378202,1.526716,6.684270,19.414043,226304.187500,165780.937500,159053.734375,1195.312500,2953.125000,1429.687500,3
742.778503,551980.750000,-0.004708,5.210042,4.335188,1.512733,6.557982,18.576420,228947.687500,188638.015625,183968.406250,1476.562500,726.562500,1101.562500,4
726.308228,527777.625000,-0.013879,5.555662,4.433496,1.547271,6.859821,19.778704,217547.453125,215161.890625,184080.234375,1476.562500,1453.125000,1828.125000,4
724.207520,524703.937500,0.003672,5.601045,4.446356,1.547954,6.882754,19.759058,232362.531250,205004.421875,183118.968750,1476.562500,1453.125000,1828.125000,3
772.945557,597640.437500,-0.109281,5.185426,3.927244,1.546461,6.073331,18.982803,218660.578125,197289.500000,197091.218750,2906.250000,1828.125000,1476.562500,3
843.156067,711236.125000,0.103246,5.729170,4.664089,1.566375,7.305711,20.303078,206870.796875,173392.578125,166778.968750,1101.562500,2906.250000,1195.312500,3
850.930847,724436.000000,0.093527,5.545834,4.621474,1.540324,7.118568,19.467623,211708.359375,174416.984375,168747.390625,1101.562500,750.000000,1453.125000,4
858.977417,738177.625000,0.085345,5.407196,4.578182,1.529581,7.002703,19.088633,195643.093750,178875.015625,170914.984375,1101.562500,1218.750000,750.000000,4
997.729248,995804.687500,0.136127,5.854233,4.981303,1.559121,7.766455,21.183477,296664.468750,227145.093750,202757.781250,1101.562500,1125.000000,1476.562500,3
1025.213623,1051569.375000,0.103398,6.082734,4.847762,1.582284,7.670537,21.144484,302334.281250,299058.875000,280577.125000,1101.562500,1476.562500,2929.687500,4
