RMS,Variance,Skewness,Kurtosis,CrestFactor,ShapeFactor,ImpulseFactor,MarginFactor,Peak1,Peak2,Peak3,PeakLocs1,PeakLocs2,PeakLocs3,Predicted
0.083795,0.007025,0.282969,4.218028,3.744638,1.440196,5.393011,14.495783,75.121071,61.295799,18.769281,398.437500,375.000000,421.875000,3
0.087138,0.007555,0.427129,5.399443,5.063230,1.489240,7.540364,19.741016,75.857628,60.202534,22.661427,398.437500,375.000000,421.875000,3
0.090772,0.008182,0.067105,4.011428,3.465347,1.452826,5.034547,13.816896,77.767059,69.476456,18.226027,398.437500,375.000000,421.875000,3
0.092171,0.008472,0.116059,4.284445,3.561805,1.468135,5.229209,14.748708,81.509270,65.416306,24.162333,398.437500,375.000000,421.875000,3
0.089743,0.008038,0.200025,4.177100,3.385720,1.438114,4.869051,14.984534,83.820297,66.257256,23.355824,398.437500,375.000000,421.875000,3
0.090291,0.008156,0.088030,4.097720,3.390101,1.433400,4.859373,14.494960,84.862846,70.505707,25.417459,398.437500,375.000000,421.875000,3
0.092883,0.008623,0.211484,4.080301,3.676084,1.430598,5.258998,14.502879,85.206337,73.084923,19.500170,398.437500,375.000000,421.875000,3
0.095714,0.009154,0.182171,4.414690,3.707841,1.465110,5.432395,16.032223,85.627319,72.568077,25.659519,398.437500,375.000000,421.875000,3
0.095558,0.009122,0.255700,4.994060,3.915359,1.484838,5.813674,16.425726,83.920067,70.077454,21.743149,398.437500,375.000000,421.875000,3
0.095722,0.009152,0.307341,4.777258,4.228497,1.486756,6.286743,16.741398,83.250938,69.538155,20.316704,398.437500,375.000000,421.875000,3
0.097020,0.009403,0.326731,4.447925,3.810942,1.460831,5.567143,15.404784,86.783691,73.546227,24.760262,398.437500,375.000000,421.875000,3
0.098500,0.009692,0.390484,4.533243,4.634665,1.455214,6.744428,16.595266,88.355782,75.157509,24.789845,398.437500,375.000000,421.875000,3
0.097733,0.009500,0.342409,4.311064,3.721868,1.451651,5.402855,15.597342,87.520889,72.846115,22.440548,398.437500,375.000000,421.875000,3
0.094649,0.008952,0.145886,4.025315,3.349846,1.445873,4.843452,13.872626,87.582985,68.336578,28.056934,398.437500,375.000000,421.875000,3
0.090721,0.008231,0.093989,4.054517,3.788156,1.436623,5.442150,14.785757,82.788437,69.125107,22.113455,398.437500,375.000000,421.875000,3
0.090107,0.007981,0.628870,5.055234,4.778344,1.479114,7.067716,17.429600,76.907265,65.563431,24.391781,398.437500,375.000000,0.000000,3
0.087066,0.007531,0.386036,4.536157,3.585294,1.464857,5.251944,16.351328,75.183372,63.762165,19.280392,398.437500,375.000000,421.875000,3
