RMS,Mean,Median,Variance,Skewness,Kurtosis,CrestFactor,ShapeFactor,ImpulseFactor,MarginFactor,Peak1,Peak2,Peak3,PeakLocs1,PeakLocs2,PeakLocs3,FalutID
476.1507,-7.4825373,-21.88613,226663.47,2.0278053283691406,8.846747,5.9352126,1.8000458,10.683655,0.040388618,452726.1875,445167.9375,149043.921875,117.1875,445.3125,644.53125,1
679.31415,-8.556013,-30.018318,461394.56,1.3299083709716797,3.2231512,4.16016,1.5587431,6.4846215,0.014879507,837598.8125,537088.5625,301630.96875,433.59375,117.1875,644.53125,1
684.7129,-6.1225243,-30.52367,468794.3,1.2966445684432983,3.0340867,4.1273584,1.5393193,6.353323,0.014283055,814910.875,530717.125,254880.046875,433.59375,105.46875,644.53125,1
680.4254,-10.545156,-32.1675,462867.62,1.3239505290985107,3.2014341,4.1533656,1.5479896,6.429367,0.014627015,881038.9375,642239.0625,519333.8125,421.875,539.0625,105.46875,1
580.5693,-5.692624,-13.074711,337028.25,1.1337296962738037,3.9095688,4.561172,1.5635816,7.131765,0.019207176,712252.0,327593.65625,253659.953125,433.59375,105.46875,621.09375,1
369.4534,-6.415937,-9.064507,136454.66,0.7930343151092529,2.1736717,3.792742,1.4864837,5.637849,0.0226837,440682.53125,233721.15625,92247.265625,421.875,105.46875,644.53125,1
349.72183,-3.3674843,-1.0849154,122294.0,0.8151473999023438,2.962483,4.0067315,1.5729231,6.3022804,0.028345391,461512.15625,210566.046875,76246.4921875,410.15625,105.46875,632.8125,1
334.6161,-2.3640835,-0.42482823,111962.35,0.8916996717453003,3.9413376,4.187609,1.732551,7.2552466,0.03756569,405049.90625,187281.703125,67488.0625,410.15625,105.46875,632.8125,1
201.51941,-0.089793205,-0.029280398,40610.06,1.5657180547714233,11.714492,6.4098954,1.9366578,12.413774,0.11929984,174554.453125,132215.875,100419.4609375,398.4375,515.625,117.1875,1
67.121185,0.50306886,0.02980984,4505.001,0.12804429233074188,1.6617069,4.1009483,1.4122347,5.791502,0.12185363,85980.3671875,45690.91796875,42099.08984375,410.15625,46.875,210.9375,1
55.132668,-1.2948234,0.03392896,3037.934,-0.4219793677330017,1.6895976,3.108242,1.4287428,4.4408784,0.11508373,51157.609375,40600.3203125,39778.81640625,410.15625,210.9375,597.65625,1
54.428608,-0.1315313,0.0028406652,2962.456,-0.49103379249572754,1.9388552,3.1484487,1.4596751,4.595712,0.12324854,43448.7109375,41398.1015625,39523.46484375,410.15625,46.875,597.65625,1
51.005142,-2.4153814,-0.19728012,2595.6904,-0.07643311470746994,1.3350434,4.419368,1.4503139,6.409471,0.18225113,36425.84375,27697.138671875,26708.396484375,597.65625,46.875,878.90625,1
87.32758,-3.255411,-0.41163236,7615.5093,1.9735246896743774,16.651049,7.9695725,1.7816783,14.199215,0.2896958,77538.8984375,45187.07421875,31937.47265625,117.1875,539.0625,386.71875,1
116.451965,-3.210053,-1.3850996,13550.756,1.3654351234436035,7.475135,5.9764,1.6396488,9.799196,0.13797311,134815.921875,58518.8828125,57768.51953125,117.1875,386.71875,609.375,1
173.43819,-6.7570176,-1.8345175,30035.145,0.3115145266056061,5.4729395,4.3786063,1.616382,7.0775003,0.06595978,149536.375,149380.5,106261.765625,117.1875,621.09375,457.03125,1
362.2952,-8.371189,-2.5886674,131187.75,0.7542931437492371,3.1064892,4.239488,1.5885991,6.7348466,0.029531088,388489.53125,344077.75,215858.4375,410.15625,621.09375,105.46875,1
493.75174,-6.072737,-2.498193,243753.89,0.3893955647945404,0.724591,3.1107662,1.4239023,4.4294267,0.012773768,765696.0625,305088.0625,296291.3125,410.15625,621.09375,105.46875,1
499.22665,-4.432089,-1.3706222,249207.62,0.3657238185405731,0.5905235,3.0766509,1.4066304,4.327711,0.01219384,861667.5,305163.5,264560.21875,410.15625,632.8125,105.46875,1
494.1373,-4.8469954,-2.3821995,244148.14,0.3918769955635071,0.701416,3.1083388,1.4236214,4.4250975,0.012748812,729131.1875,273908.03125,234865.328125,410.15625,105.46875,527.34375,1
541.20416,-6.5861793,-0.74931335,292858.56,0.4961215555667877,1.5172963,3.7587755,1.4831371,5.5747795,0.015277345,856257.0625,329922.125,255165.765625,410.15625,105.46875,550.78125,1
612.5173,5.559966,-3.959485,375146.47,0.9004883170127869,2.0927534,3.50277,1.556878,5.4533854,0.013861251,972254.6875,497558.90625,487200.53125,433.59375,105.46875,550.78125,1
614.06604,-5.5376253,-13.609629,377046.44,0.9372446537017822,2.1161556,3.4939353,1.5506947,5.4180274,0.01368209,1009844.0625,522924.1875,502908.5,433.59375,550.78125,105.46875,1
610.4526,-5.7575836,-21.885227,372619.22,0.9533823132514954,2.2221622,3.5146172,1.5539668,5.4615984,0.013903033,974580.75,515815.5625,480382.6875,433.59375,550.78125,105.46875,1
541.9663,7.164961,-14.522991,293676.12,0.9677201509475708,2.7573657,3.9587462,1.5283024,6.0501614,0.01706098,828524.875,467049.8125,320690.34375,433.59375,105.46875,550.78125,1
402.54337,-15.000764,-11.290128,161816.14,0.13775956630706787,0.6393895,2.888612,1.404218,4.056241,0.014149646,584151.5625,447880.8125,153362.921875,421.875,105.46875,632.8125,1
389.4368,-5.663618,-2.5541587,151628.94,0.1036345437169075,0.9712758,2.9858289,1.4544404,4.34271,0.016218841,662960.5625,409423.0,194095.953125,421.875,105.46875,632.8125,1
381.29825,-3.965176,0.0,145372.62,0.08980056643486023,1.28093,3.0495594,1.5347428,4.6802893,0.01883838,598230.875,366554.40625,184941.578125,421.875,105.46875,632.8125,1
279.44507,-10.098857,1.0143728,77987.57,-0.24366167187690735,4.803191,3.632134,1.718407,6.2414846,0.03838111,367728.125,229243.046875,208957.734375,421.875,210.9375,93.75,1
108.170456,-2.374305,0.77526724,11695.211,-0.22163692116737366,1.1853929,3.5203962,1.424591,5.015125,0.06604855,115546.8359375,88286.3515625,62218.11328125,421.875,210.9375,93.75,1
93.58716,-3.134439,0.02316168,8748.731,-0.3149525821208954,2.0549831,3.568374,1.5287308,5.455083,0.08910788,94178.609375,79163.5859375,43615.93359375,421.875,210.9375,808.59375,1
104.18334,0.124646306,-0.22485487,10854.152,0.06845734268426895,2.045186,4.0600467,1.5181442,6.1637363,0.08981705,106700.6796875,70906.765625,45101.6015625,421.875,105.46875,281.25,1
260.6633,-9.235364,-1.4246668,67860.06,-0.31845661997795105,6.9182844,4.56739,1.8813074,8.592665,0.062016565,314824.53125,215289.265625,98773.4375,421.875,105.46875,621.09375,1
350.87885,-4.022252,-0.21829319,123099.77,-0.1481349766254425,2.8759212,3.7616553,1.6702387,6.2828627,0.029907418,503296.25,315148.59375,219658.3125,421.875,105.46875,632.8125,1
358.6315,3.0617862,3.3548004e-05,128607.17,-0.17749810218811035,2.4412746,3.6803384,1.5557815,5.7258024,0.024839139,519074.4375,349635.1875,212101.1875,410.15625,105.46875,632.8125,1
356.3775,-1.1695328,0.24901737,127003.555,-0.15541702508926392,2.5602365,3.7036154,1.5740846,5.8298044,0.025749676,514270.28125,300579.03125,208930.171875,410.15625,105.46875,621.09375,1
280.34253,9.384659,0.5816418,78503.86,-0.0644950345158577,4.459794,4.7081165,1.59578,7.513118,0.042766552,338677.9375,221677.21875,188342.515625,410.15625,93.75,210.9375,1
197.65982,-2.353572,0.0047885226,39063.863,-0.050548043102025986,0.44347882,2.9855454,1.3817195,4.125186,0.028836666,255928.546875,154342.1875,78591.90625,93.75,410.15625,292.96875,1
192.25052,-9.110418,-0.0022974943,36877.26,-0.05828744173049927,0.5193565,3.0695488,1.3951766,4.282563,0.031078886,246736.078125,139639.5625,82994.0703125,93.75,421.875,281.25,1
197.6252,-3.6509311,-0.023877872,39042.39,-0.051902975887060165,0.2822492,2.9860685,1.3732897,4.100737,0.02849586,233428.078125,168278.734375,78769.59375,93.75,410.15625,281.25,1
291.24374,-11.159438,-0.040567394,84698.38,-0.030673587694764137,3.3432603,3.972119,1.5130106,6.0098586,0.031221204,295086.5625,232964.328125,86688.34375,410.15625,117.1875,597.65625,1
312.9189,-3.3943331,-0.012596307,97906.734,0.08337928354740143,2.6296225,3.6969798,1.5196315,5.6180468,0.027282981,405943.6875,297728.75,132159.25,398.4375,93.75,785.15625,1
309.1791,-0.02994895,-0.054586563,95591.73,0.050851501524448395,2.870767,3.741698,1.5504495,5.801314,0.029092018,395559.4375,319435.53125,135048.015625,398.4375,93.75,585.9375,1
304.67776,-5.071362,-0.09265458,92802.83,0.08372315019369125,3.2082238,3.7969782,1.6211897,6.155622,0.032754052,370937.625,318534.21875,122656.6328125,386.71875,93.75,585.9375,1
194.4229,-1.7709394,-0.15875384,37797.13,0.4715282917022705,4.879759,5.1473002,1.6387534,8.435156,0.07109832,160304.65625,152925.46875,52939.765625,386.71875,93.75,597.65625,1
92.333786,-5.054491,-0.4762541,8499.98,-0.07953765988349915,1.5723495,4.3349113,1.4385551,6.236009,0.097156666,63952.01953125,36204.85546875,34884.296875,93.75,5730.46875,5601.5625,1
86.031494,-7.3766537,-0.47662145,7347.004,-0.13258646428585052,2.740466,4.652468,1.5753756,7.329385,0.13421287,48189.35546875,36904.9140625,34507.6953125,105.46875,5730.46875,5601.5625,1
82.86871,-3.9581983,-0.5784824,6851.557,-0.14883197844028473,3.278988,4.830035,1.6315849,7.880612,0.15515974,39481.328125,38281.8671875,31906.60546875,105.46875,5730.46875,5601.5625,1
490.7116,6.880724,-1.2988043,240750.56,1.5558489561080933,11.602311,6.2032137,2.4007838,14.892574,0.07286123,413274.9375,166318.078125,126785.609375,445.3125,117.1875,316.40625,1
756.1704,12.5528555,-0.5975168,571636.1,0.8140488862991333,5.6025324,5.3091016,1.905179,10.114789,0.025484312,855934.625,282031.5,213185.03125,421.875,105.46875,597.65625,1
763.0705,4.008237,-1.8796266,582260.5,0.8148519396781921,5.337679,5.2610936,1.7865212,9.3990555,0.022005323,889839.6875,298246.9375,213126.234375,421.875,105.46875,585.9375,1
767.0617,5.670251,-3.4983153,588351.5,0.796479344367981,5.1607275,5.233719,1.6992538,8.893416,0.019701378,911508.0625,308916.53125,212936.84375,421.875,105.46875,585.9375,1
637.05725,-7.760859,-0.03452512,405781.66,0.7242720723152161,9.219757,6.3017654,1.7125475,10.792073,0.029011426,808661.9375,207032.484375,91521.953125,421.875,117.1875,632.8125,1
301.09048,-16.786118,-2.3031783,90373.7,-0.059696368873119354,1.0155349,2.8850477,1.4324989,4.1328278,0.019662766,494500.46875,269228.4375,75169.40625,398.4375,199.21875,35.15625,1
284.94888,-6.759578,-0.7039147,81150.18,-0.00820972304791212,1.5149493,3.048478,1.5183895,4.628777,0.024665078,479252.78125,253357.90625,97014.3828125,398.4375,199.21875,46.875,1
277.18225,-9.998515,-0.3869205,76730.03,0.0034074101131409407,1.963891,3.133896,1.609504,5.0440183,0.029288918,438905.6875,246048.171875,88087.625,398.4375,199.21875,46.875,1
400.26724,-13.585218,-0.3020444,160029.3,0.1636042445898056,7.0189686,5.242411,1.8502793,9.699925,0.044838972,603851.0625,192868.53125,104937.2109375,398.4375,199.21875,527.34375,1
712.7347,5.2781725,-0.00010888167,507962.84,0.30455371737480164,2.247789,3.497608,1.6803049,5.8770475,0.01385541,1284602.875,215564.578125,118675.71875,398.4375,199.21875,597.65625,1
735.8006,-3.0763416,0.0,541393.1,0.29204410314559937,1.7033515,3.3879647,1.544767,5.233616,0.010987648,1429532.875,231547.375,102533.140625,398.4375,199.21875,597.65625,1
746.50555,-0.65895844,-3.1525648,557270.1,0.2783184349536896,1.4587259,3.339381,1.4695765,4.9074755,0.009660893,1423039.625,219522.484375,90881.5859375,398.4375,93.75,609.375,1
674.13477,3.476447,-4.331805,454445.6,0.337948203086853,2.5405717,3.6978755,1.5251353,5.6397605,0.012759168,1015683.6875,274560.46875,125513.015625,398.4375,93.75,269.53125,1
347.90912,-16.586597,-2.4636362,120765.63,-0.17639751732349396,0.57254744,2.8701522,1.3579403,3.8974953,0.015212496,352937.46875,190892.546875,168113.25,363.28125,93.75,527.34375,1
298.03748,-6.907643,-2.1936507,88778.62,-0.1643475592136383,1.0680556,3.3504248,1.4300505,4.7912765,0.022989614,343805.03125,194568.328125,93711.8828125,375.0,93.75,527.34375,1
267.66144,-9.2722435,-0.6711402,71556.68,-0.3963167369365692,1.8075948,3.1842895,1.5562688,4.9556103,0.028813496,327822.9375,189047.796875,73023.890625,375.0,93.75,550.78125,1
193.8827,-3.2499528,0.045023628,37579.945,-0.8496158123016357,5.472827,3.9982696,1.7350972,6.937386,0.06208413,184710.09375,129232.9609375,45005.22265625,457.03125,93.75,269.53125,1
79.95359,-1.6666696,-1.5800513,6389.799,0.17674413323402405,2.7515326,4.6000814,1.4591912,6.7123985,0.12250447,105125.953125,85778.8515625,22796.939453125,93.75,375.0,234.375,1
65.742294,-2.6138868,0.0042629153,4315.217,-0.667304515838623,1.8875904,2.434714,1.4766446,3.5952077,0.08075234,97265.6328125,49753.19921875,14331.0068359375,93.75,375.0,257.8125,1
61.28121,-2.0595253,-0.039603364,3751.145,-0.7523154020309448,2.92703,2.6119537,1.6151114,4.2185965,0.11118421,81712.2734375,41413.828125,15684.015625,93.75,375.0,234.375,1
45.33853,-7.093005,-0.2150584,2005.2715,-0.5226443409919739,3.331746,3.530412,1.6632704,5.8720293,0.2154188,59177.375,25518.21875,10900.7490234375,93.75,386.71875,539.0625,1
31.324492,-0.91461515,-0.050304286,980.38727,-0.13301068544387817,1.8075757,3.3646266,1.5478413,5.207908,0.2573391,34435.92578125,13812.8994140625,13031.87109375,46.875,363.28125,187.5,1
28.562227,-4.2852025,-0.12733403,797.43787,-0.4647969901561737,2.1989827,3.0903215,1.57843,4.8778563,0.26956424,33974.20703125,9542.443359375,6501.84521484375,82.03125,457.03125,597.65625,1
28.909733,-5.6123886,-0.12741092,804.27386,-0.33422017097473145,2.0384312,3.0531747,1.5204196,4.6421065,0.24413748,36904.77734375,9394.408203125,9276.123046875,82.03125,457.03125,199.21875,1
24.033903,-1.7273223,-0.033903565,574.64484,0.3080342411994934,2.1753235,3.6725814,1.4839282,5.4498467,0.33649054,32514.099609375,8893.740234375,4976.17578125,70.3125,187.5,609.375,1
24.745777,-7.85515,-0.40264493,550.6502,-0.918514609336853,1.2564211,1.9882078,1.4814838,2.9454978,0.1763415,36992.921875,7655.89208984375,5031.50634765625,35.15625,187.5,492.1875,1
24.470089,-5.5457425,-0.20429944,568.02997,-1.0030369758605957,1.4497261,2.0106077,1.4735421,2.9627151,0.17840905,44527.921875,7811.6748046875,5058.59619140625,35.15625,152.34375,457.03125,1
24.332237,-3.9762628,-0.05969292,576.2472,-1.131132960319519,1.637578,2.0219986,1.4978732,3.0286975,0.18644422,40251.234375,7476.97021484375,4768.08154296875,35.15625,187.5,2156.25,1
