RMS,Variance,Skewness,Kurtosis,CrestFactor,ShapeFactor,ImpulseFactor,MarginFactor,Peak1,Peak2,Peak3,PeakLocs1,PeakLocs2,PeakLocs3,Predicted
1775.802368,3154697.500000,0.889938,22.314354,9.275246,2.102033,19.496876,59.348568,597439.250000,570949.875000,545741.000000,1101.562500,1125.000000,1148.437500,1
1306.511353,1707783.250000,0.221317,10.958894,7.128286,1.713451,12.213966,32.030090,576384.375000,499640.687500,303265.281250,1125.000000,1101.562500,1195.312500,4
1638.104980,2684635.000000,0.660430,17.369894,7.617896,1.973298,15.032377,43.666142,638561.062500,634980.187500,516423.906250,1125.000000,1101.562500,1195.312500,1
2026.911255,4110372.250000,0.636497,19.159376,7.886636,2.173280,17.139870,56.037521,763814.562500,726094.125000,700438.875000,1125.000000,1101.562500,1148.437500,1
1075.887817,1158058.250000,0.043041,4.917921,4.175701,1.463531,6.111269,16.631802,404468.281250,332068.125000,291640.687500,1148.437500,1101.562500,1453.125000,2
1778.445068,3164384.750000,0.119608,19.996679,8.189908,2.053164,16.815226,54.662388,643150.000000,628016.937500,541517.625000,1125.000000,1148.437500,1171.875000,1
1576.901733,2487835.500000,-0.096719,14.058397,7.061128,1.887674,13.329107,42.577930,632014.312500,526039.625000,500980.437500,1148.437500,1125.000000,1078.125000,2
1311.166260,1719993.000000,0.244005,11.677921,6.975076,1.674673,11.680970,33.662945,609177.875000,445517.312500,404414.906250,1148.437500,1171.875000,1195.312500,2
1960.261475,3844390.000000,0.491887,20.115839,8.086091,2.175287,17.589571,59.166893,802924.375000,707925.562500,681206.500000,1148.437500,1125.000000,1171.875000,1
1133.494629,1285437.375000,0.217279,8.875549,5.982754,1.608173,9.621303,25.956270,464501.406250,463892.437500,348874.531250,1148.437500,1125.000000,1078.125000,2
1673.456421,2801756.750000,1.164181,20.834263,8.563265,2.100847,17.990105,52.161999,629282.687500,607917.875000,539770.937500,1101.562500,1171.875000,1148.437500,1
1807.081665,3266937.000000,0.910139,19.325342,8.062288,2.155732,17.380136,52.096130,713441.000000,707715.687500,600542.812500,1125.000000,1101.562500,1148.437500,1
1015.295959,1031320.125000,0.348514,7.999858,6.394681,1.511761,9.667229,25.247515,321989.937500,275694.312500,272889.500000,1125.000000,1078.125000,1148.437500,2
1852.619019,3433867.500000,0.466609,20.582689,8.588759,2.171370,18.649370,59.527653,628585.437500,598260.062500,589772.000000,1125.000000,1171.875000,1101.562500,1
1394.670288,1946048.625000,0.083465,11.871786,6.850658,1.770649,12.130108,35.389683,538230.000000,509497.250000,464703.250000,1101.562500,1171.875000,1125.000000,4
