TempoLeituraSD,TempoNormalizacao,TempoPreProcessamento,TempoFeatTempo,TempoFFT,TempoFeatFrequencia,TempoInferencia
75972,1171,672,6167,1819,1105,379
75972,1171,676,6167,1819,1111,379
70406,1172,264,6167,1819,1107,380
70406,1172,7565,6167,1819,1108,379
70406,1172,674,6167,1818,1109,382
70406,1172,673,6167,1819,1108,380
88708,1171,264,6166,1819,1109,379
88708,1171,7566,6167,1819,1107,380
88708,1171,674,6168,1818,1109,380
88708,1171,673,6166,1819,1106,380
70294,1172,265,6166,1819,1107,380
70294,1172,7565,6166,1819,1108,380
70294,1172,673,6167,1819,1105,380
70294,1172,676,6166,1819,1104,380
70255,1172,264,6167,1819,1107,382
70255,1172,7568,6166,1819,1107,379
70255,1172,674,6166,1819,1107,380
70255,1172,674,6168,1818,1109,381
70318,1172,264,6166,1818,1108,381
70318,1172,7566,6167,1819,1105,381
70318,1172,675,6168,1818,1107,379
70318,1172,2459,6166,1819,1106,379
77190,1171,264,6167,1819,1104,380
77190,1171,7570,6167,1819,1107,379
77190,1171,673,6167,1819,1108,381
77190,1171,673,6167,1819,1106,381
70344,1171,264,6166,1819,1110,382
70344,1171,7572,6167,1819,1112,379
70344,1171,670,6167,1819,1103,380
70344,1171,677,6167,1819,1105,380
70369,1172,264,6166,1819,1105,380
70369,1172,7569,6166,1818,1106,379
70369,1172,673,6166,1819,1107,380
70369,1172,673,6166,1819,1109,380
75736,1172,264,6167,1819,1110,379
75736,1172,7571,6166,1819,1105,380
75736,1172,2461,6166,1819,1105,380
75736,1172,676,6167,1819,1107,379
70420,1172,264,6166,1819,1106,379
70420,1172,7570,6167,1819,1106,380
70420,1172,675,6167,1819,1108,380
70420,1172,673,6166,1819,1108,382
70319,1172,264,6167,1819,1108,380
70319,1172,7564,6166,1819,1107,379
70319,1172,674,6167,1819,1111,379
70319,1172,671,6167,1819,1108,379
70269,1172,264,6166,1818,1111,380
70269,1172,7569,6167,1819,1108,379
70269,1172,673,6168,1818,1105,380
70269,1172,676,6167,1819,1107,380
70268,1172,264,6166,1819,1106,379
70268,1172,9350,6166,1819,1108,380
70268,1172,673,6167,1819,1108,379
70268,1172,674,6166,1819,1109,380
77191,1172,264,6167,1819,1108,379
77191,1172,7565,6167,1819,1109,379
77191,1172,672,6167,1819,1111,380
77191,1172,670,6167,1819,1111,380
70319,1172,264,6166,1819,1109,381
70319,1172,7573,6167,1819,1106,380
70319,1172,675,6167,1819,1108,380
70319,1172,673,6167,1819,1108,379
70331,1172,263,6167,1818,1108,379
70331,1172,7570,6166,1819,1109,379
70331,1172,672,6167,1819,1113,381
70331,1172,676,6167,1819,1110,379
84980,1172,265,6166,1819,1107,379
84980,1172,7567,6167,1819,1107,380
84980,1172,675,6166,1819,1105,380
