TempoLeituraSD,TempoNormalizacao,TempoPreProcessamento,TempoFeatTempo,TempoFFT,TempoFeatFrequencia,TempoInferencia
79665,1172,675,6166,1820,1095,380
79665,1172,676,6167,1821,1095,380
70434,1172,264,6167,1821,1095,381
70434,1172,7583,6167,1820,1093,381
70434,1172,677,6166,1821,1094,380
70434,1172,677,6167,1820,1094,381
70357,1172,264,6167,1821,1094,381
70357,1172,7565,6166,1820,1095,379
70357,1172,675,6167,1819,1094,380
70357,1172,677,6167,1821,1096,380
70319,1172,265,6166,1820,1094,380
70319,1172,7569,6167,1820,1094,380
70319,1172,676,6166,1821,1096,378
70319,1172,2460,6167,1821,1095,377
82734,1172,265,6167,1821,1096,378
82734,1172,7561,6166,1820,1094,382
82734,1172,676,6167,1821,1095,380
82734,1172,676,6167,1821,1095,380
70396,1172,264,6167,1821,1095,382
70396,1172,7569,6166,1821,1096,380
70396,1172,675,6167,1821,1096,379
70396,1172,675,6167,1820,1097,379
70532,1172,264,6166,1821,1097,383
70532,1172,7569,6167,1821,1094,380
70532,1172,676,6167,1820,1094,381
70532,1172,677,6167,1820,1094,382
70383,1172,264,6166,1821,1095,380
70383,1172,7582,6167,1821,1094,381
70383,1172,2462,6167,1821,1094,381
70383,1172,677,6167,1820,1093,381
70395,1172,264,6168,1820,1094,380
70395,1172,7570,6167,1820,1094,380
70395,1172,676,6167,1821,1095,379
70395,1172,676,6166,1820,1094,378
70396,1172,263,6166,1820,1095,380
70396,1172,7577,6166,1820,1095,380
70396,1172,676,6167,1821,1094,380
70396,1172,676,6167,1819,1095,380
70356,1172,264,6167,1821,1094,381
70356,1172,7566,6166,1821,1097,381
70356,1172,674,6168,1820,1100,381
70356,1172,670,6166,1820,1101,381
70456,1172,264,6166,1821,1100,380
70456,1172,9349,6167,1821,1099,381
70456,1172,672,6167,1821,1097,381
70456,1172,673,6166,1821,1097,380
77331,1172,264,6167,1821,1097,381
77331,1172,7565,6166,1821,1096,380
77331,1172,674,6166,1820,1099,380
77331,1172,673,6168,1820,1099,381
75910,1172,264,6166,1821,1098,380
75910,1172,7502,6167,1820,1099,381
75910,1172,672,6167,1820,1095,379
75910,1172,675,6167,1821,1095,378
70359,1172,264,6167,1821,1094,379
70359,1172,7563,6166,1820,1096,378
70359,1172,675,6167,1821,1096,379
70359,1172,674,6167,1819,1095,379
79678,1172,264,6167,1821,1096,378
79678,1172,7568,6166,1821,1097,380
79678,1172,674,6167,1820,1099,380
79678,1172,671,6167,1821,1099,381
70394,1172,265,6167,1820,1098,381
70394,1172,7567,6168,1820,1101,381
70394,1172,678,6167,1821,1103,381
70394,1172,675,6166,1820,1102,380
70382,1171,264,6167,1820,1102,380
70382,1171,7567,6166,1820,1103,380
70382,1171,676,6166,1820,1102,380
70382,1171,669,6166,1821,1101,380
70358,1172,264,6167,1821,1100,380
70358,1172,7567,6166,1820,1102,381
70358,1172,678,6167,1821,1096,381
70358,1172,2459,6166,1820,1097,381
70356,1172,265,6167,1821,1097,381
70356,1172,7571,6167,1819,1095,382
70356,1172,676,6167,1820,1098,381
70356,1172,671,6167,1821,1098,380
77292,1171,263,6167,1820,1100,381
77292,1171,7584,6167,1820,1100,380
77292,1171,678,6167,1821,1100,380
77292,1171,671,6166,1820,1102,380
85281,1172,264,6167,1821,1101,381
85281,1172,7584,6167,1821,1102,380
85281,1172,677,6166,1819,1104,380
85281,1172,675,6167,1820,1102,381
70483,1172,264,6166,1820,1104,380
70483,1172,7568,6166,1821,1102,380
70483,1172,2454,6166,1821,1099,381
70483,1172,672,6167,1821,1099,381
70382,1172,264,6167,1820,1100,381
70382,1172,7569,6167,1821,1099,381
70382,1172,672,6167,1820,1098,381
70382,1172,672,6166,1820,1099,380
70396,1172,264,6167,1820,1098,382
70396,1172,7584,6167,1820,1097,381
70396,1172,673,6166,1821,1096,381
70396,1172,675,6167,1819,1096,380
70382,1171,263,6166,1820,1096,380
70382,1171,7572,6166,1821,1096,379
70382,1171,674,6168,1820,1095,379
70382,1171,675,6167,1820,1095,379
79438,1172,265,6167,1820,1095,379
79438,1172,7565,6166,1821,1094,381
79438,1172,677,6167,1821,1095,380
79438,1172,676,6167,1821,1095,379
70282,1171,264,6166,1820,1095,380
70282,1171,7578,6166,1820,1095,379
70282,1171,675,6167,1821,1095,379
70282,1171,676,6167,1820,1096,379
77203,1172,264,6166,1821,1095,379
77203,1172,7563,6167,1820,1096,380
77203,1172,675,6167,1821,1095,382
77203,1172,676,6167,1821,1094,380
70345,1172,264,6167,1819,1095,380
70345,1172,7567,6167,1821,1094,382
70345,1172,677,6166,1820,1095,381
70345,1172,2461,6167,1820,1096,381
75223,1172,264,6166,1821,1095,380
75223,1172,7569,6166,1820,1095,380
75223,1172,674,6167,1821,1095,380
75223,1172,675,6167,1820,1095,380
70394,1172,265,6167,1820,1095,380
70394,1172,7569,6166,1820,1095,381
70394,1172,675,6167,1821,1094,380
70394,1172,676,6166,1820,1095,381
70346,1171,264,6166,1820,1095,381
70346,1171,7566,6166,1821,1094,380
70346,1171,676,6167,1821,1095,381
70346,1171,676,6167,1819,1095,380
70334,1172,264,6167,1820,1095,380
70334,1172,7571,6167,1821,1099,380
70334,1172,2457,6167,1821,1099,381
70334,1172,671,6166,1821,1099,380
70357,1172,264,6166,1819,1099,380
70357,1172,7568,6166,1820,1100,381
70357,1172,671,6167,1821,1099,381
70357,1172,672,6167,1821,1099,381
70344,1171,264,6166,1820,1098,381
70344,1171,7572,6167,1821,1098,381
70344,1171,673,6167,1820,1098,381
70344,1171,672,6167,1820,1098,381
77316,1172,263,6166,1820,1098,381
77316,1172,7571,6166,1821,1098,380
77316,1172,672,6166,1820,1098,381
77316,1172,672,6167,1821,1098,382
70381,1171,264,6167,1821,1098,381
70381,1171,9356,6166,1820,1098,381
70381,1171,672,6167,1820,1100,380
70381,1171,671,6167,1821,1100,381
75863,1172,265,6166,1820,1101,380
75863,1172,7505,6167,1820,1097,381
75863,1172,672,6167,1821,1097,381
75863,1172,674,6166,1820,1098,381
70358,1172,264,6166,1820,1098,382
70358,1172,7569,6167,1821,1097,380
70358,1172,672,6166,1820,1099,381
70358,1172,672,6168,1820,1099,380
75824,1172,264,6168,1820,1099,381
75824,1172,7571,6167,1820,1098,381
75824,1172,672,6166,1821,1096,381
75824,1172,675,6167,1820,1095,381
79602,1172,264,6167,1821,1096,382
79602,1172,7566,6167,1821,1099,382
79602,1172,679,6166,1821,1101,382
79602,1172,670,6167,1820,1099,383
70407,1172,264,6167,1821,1100,382
70407,1172,7570,6167,1821,1100,382
70407,1172,679,6168,1820,1098,382
70407,1172,673,6167,1821,1098,383
70356,1171,264,6166,1821,1097,381
70356,1171,7570,6167,1820,1096,381
70356,1171,675,6166,1820,1100,381
70356,1171,672,6166,1820,1100,380
77267,1172,264,6167,1819,1100,381
77267,1172,7566,6167,1820,1100,381
77267,1172,670,6166,1820,1102,380
77267,1172,2463,6167,1820,1101,381
70381,1172,264,6167,1821,1101,380
70381,1172,7577,6167,1821,1103,379
70381,1172,675,6167,1820,1102,381
70381,1172,677,6167,1821,1100,381
75886,1171,264,6167,1820,1100,381
75886,1171,7567,6166,1820,1102,379
75886,1171,677,6167,1820,1100,379
75886,1171,670,6168,1820,1099,380
70383,1172,264,6167,1821,1100,380
70383,1172,7568,6166,1821,1101,380
70383,1172,670,6168,1820,1099,383
70383,1172,672,6166,1820,1098,381
70431,1172,265,6167,1821,1098,380
70431,1172,7564,6168,1820,1096,381
70431,1172,2459,6167,1821,1096,381
70431,1172,675,6167,1820,1097,381
70408,1171,263,6166,1820,1100,381
70408,1171,7569,6166,1820,1102,380
70408,1171,678,6167,1821,1101,381
70408,1171,670,6167,1820,1100,380
70381,1172,264,6167,1821,1101,382
70381,1172,7569,6167,1821,1101,380
70381,1172,670,6167,1819,1099,380
70381,1172,670,6167,1821,1099,381
70343,1172,265,6167,1820,1099,380
70343,1172,7565,6167,1820,1098,381
70343,1172,673,6166,1820,1098,381
70343,1172,672,6167,1821,1098,381
77253,1172,264,6167,1820,1098,381
77253,1172,9356,6167,1821,1098,380
77253,1172,674,6167,1820,1097,380
77253,1172,671,6167,1820,1098,381
70419,1171,264,6167,1820,1099,381
70419,1171,7567,6167,1821,1101,380
70419,1171,670,6167,1820,1100,380
70419,1171,669,6166,1821,1100,380
70420,1172,264,6166,1820,1101,380
70420,1172,7565,6168,1820,1101,381
70420,1172,670,6166,1820,1101,380
70420,1172,669,6166,1820,1102,380
76037,1171,264,6166,1820,1100,380
76037,1171,7572,6167,1820,1099,380
76037,1171,672,6167,1821,1100,381
76037,1171,670,6167,1821,1101,381
79639,1172,264,6167,1820,1099,381
79639,1172,7569,6167,1821,1098,381
79639,1172,672,6167,1819,1097,382
79639,1172,673,6167,1821,1096,381
70382,1172,265,6167,1820,1096,380
70382,1172,7564,6167,1820,1097,381
70382,1172,672,6166,1820,1099,381
70382,1172,671,6167,1821,1099,381
70331,1171,264,6167,1820,1100,381
70331,1171,7566,6167,1821,1102,380
70331,1171,677,6166,1821,1099,380
70331,1171,672,6167,1821,1098,380
70344,1171,264,6166,1820,1099,381
70344,1171,7581,6167,1821,1099,381
70344,1171,672,6167,1820,1100,381
70344,1171,2456,6167,1820,1098,380
77279,1172,265,6166,1819,1101,380
77279,1172,7570,6167,1821,1099,381
77279,1172,671,6167,1821,1099,381
77279,1172,672,6167,1820,1099,381
70369,1172,264,6167,1821,1099,381
70369,1172,7564,6166,1820,1099,380
70369,1172,671,6166,1821,1100,380
70369,1172,670,6168,1820,1100,382
70419,1171,264,6167,1820,1100,381
70419,1171,7565,6167,1821,1100,381
70419,1171,671,6168,1820,1100,381
70419,1171,671,6167,1820,1099,382
70419,1172,264,6166,1821,1100,381
70419,1172,7565,6168,1820,1100,381
70419,1172,2456,6166,1820,1099,381
70419,1172,672,6167,1820,1099,380
70344,1171,263,6166,1820,1099,381
70344,1171,7571,6166,1820,1098,381
70344,1171,673,6167,1821,1099,380
70344,1171,672,6167,1820,1100,381
70482,1172,264,6166,1821,1098,382
70482,1172,7566,6167,1821,1098,381
70482,1172,673,6166,1820,1098,381
70482,1172,672,6166,1820,1097,381
70331,1172,264,6166,1820,1096,380
70331,1172,7570,6168,1820,1097,381
70331,1172,674,6167,1821,1097,381
70331,1172,673,6167,1821,1098,380
70344,1172,264,6167,1821,1097,381
70344,1172,9351,6167,1820,1096,381
70344,1172,674,6167,1821,1097,379
70344,1172,674,6168,1820,1097,379
77267,1171,264,6166,1820,1097,379
77267,1171,7577,6167,1821,1096,379
77267,1171,675,6167,1820,1095,380
77267,1171,676,6166,1820,1095,381
79938,1172,264,6166,1821,1096,380
79938,1172,7568,6167,1821,1095,378
79938,1172,675,6166,1821,1095,380
79938,1172,676,6167,1820,1096,379
70408,1172,264,6167,1821,1095,380
70408,1172,7566,6166,1820,1095,379
70408,1172,675,6167,1820,1097,380
70408,1172,674,6167,1821,1096,380
85042,1172,264,6167,1820,1096,380
85042,1172,7567,6167,1820,1095,378
85042,1172,674,6167,1821,1094,381
85042,1172,677,6168,1820,1094,380
70445,1172,264,6167,1820,1094,380
70445,1172,7581,6166,1821,1096,378
70445,1172,675,6168,1820,1097,379
70445,1172,674,6167,1820,1096,379
70468,1172,263,6166,1820,1096,379
70468,1172,7564,6167,1819,1095,379
70468,1172,675,6166,1821,1095,380
70468,1172,675,6167,1821,1094,380
70343,1171,264,6166,1821,1094,379
70343,1171,7570,6167,1820,1095,379
70343,1171,674,6166,1820,1097,378
70343,1171,2460,6167,1820,1096,379
70332,1172,264,6166,1821,1095,378
70332,1172,7563,6166,1821,1097,379
70332,1172,674,6167,1820,1096,378
70332,1172,675,6167,1820,1097,379
77304,1172,265,6166,1820,1097,378
77304,1172,7566,6166,1821,1095,379
77304,1172,675,6167,1820,1094,381
77304,1172,677,6166,1820,1095,381
70370,1172,264,6168,1820,1094,382
70370,1172,7579,6167,1820,1094,381
70370,1172,676,6166,1820,1095,379
70370,1172,677,6167,1820,1094,380
70421,1172,264,6167,1821,1094,379
70421,1172,7570,6167,1821,1094,380
70421,1172,2461,6167,1819,1095,379
70421,1172,676,6167,1820,1096,380
70419,1172,264,6167,1821,1095,379
70419,1172,7570,6168,1820,1094,380
70419,1172,676,6166,1820,1095,380
70419,1172,676,6166,1820,1095,379
76000,1171,263,6166,1820,1095,380
76000,1171,7580,6167,1821,1095,379
76000,1171,676,6166,1821,1094,379
76000,1171,675,6166,1820,1095,380
70432,1173,264,6167,1821,1095,380
70432,1173,7567,6166,1821,1094,381
70432,1173,675,6166,1821,1094,382
70432,1173,677,6166,1821,1094,383
79675,1172,265,6167,1820,1093,381
79675,1172,7572,6168,1820,1095,379
79675,1172,676,6167,1821,1096,379
79675,1172,674,6166,1820,1096,379
70432,1172,265,6166,1820,1096,378
70432,1172,7567,6167,1820,1094,378
70432,1172,675,6166,1821,1094,381
70432,1172,677,6167,1820,1093,380
77355,1172,264,6167,1821,1094,381
77355,1172,7579,6167,1821,1094,379
77355,1172,668,6167,1820,1094,379
77355,1172,668,6168,1820,1095,380
70506,1171,264,6166,1820,1096,379
70506,1171,7570,6167,1821,1095,379
70506,1171,676,6166,1820,1097,380
70506,1171,2460,6166,1820,1096,381
70369,1172,265,6166,1820,1097,380
70369,1172,7566,6166,1820,1097,381
70369,1172,674,6167,1821,1098,381
70369,1172,673,6167,1821,1098,381
70382,1171,264,6167,1820,1097,381
70382,1171,7571,6167,1820,1098,380
70382,1171,672,6166,1820,1098,380
70382,1171,673,6167,1821,1098,380
70333,1172,264,6167,1821,1099,381
70333,1172,7567,6167,1820,1098,381
70333,1172,673,6167,1820,1099,380
70333,1172,672,6166,1820,1099,381
75924,1172,264,6167,1821,1099,381
75924,1172,7506,6166,1820,1101,380
75924,1172,2465,6167,1820,1100,380
75924,1172,670,6167,1821,1099,381
75748,1172,264,6167,1821,1098,381
75748,1172,7569,6166,1820,1099,380
75748,1172,673,6166,1821,1099,380
75748,1172,670,6168,1820,1099,381
70318,1173,264,6167,1821,1100,380
70318,1173,7572,6167,1820,1101,381
70318,1173,670,6167,1821,1099,381
70318,1173,672,6166,1820,1100,380
77190,1172,264,6167,1819,1099,381
77190,1172,7572,6167,1820,1100,381
77190,1172,670,6166,1821,1098,381
77190,1172,674,6166,1820,1098,380
70308,1172,264,6167,1821,1097,381
70308,1172,9354,6166,1821,1097,381
70308,1172,673,6167,1821,1097,381
70308,1172,674,6167,1820,1096,381
70407,1171,264,6166,1820,1097,381
70407,1171,7573,6166,1820,1097,381
70407,1171,674,6166,1820,1095,379
70407,1171,675,6167,1821,1094,377
70396,1172,264,6167,1819,1094,379
70396,1172,7569,6167,1821,1095,379
70396,1172,676,6167,1820,1095,379
70396,1172,676,6166,1821,1095,379
70408,1172,264,6167,1820,1095,380
70408,1172,7564,6167,1820,1093,379
70408,1172,677,6166,1821,1094,380
70408,1172,675,6166,1821,1095,380
85218,1172,265,6166,1819,1095,380
85218,1172,7567,6167,1821,1094,380
85218,1172,676,6167,1820,1095,379
85218,1172,675,6166,1821,1095,379
70383,1172,263,6166,1820,1095,379
70383,1172,7564,6167,1821,1094,379
70383,1172,676,6166,1820,1095,380
70383,1172,676,6168,1820,1094,380
70381,1172,264,6167,1821,1094,379
70381,1172,7566,6166,1821,1096,380
70381,1172,675,6168,1820,1097,381
70381,1172,674,6167,1820,1097,381
77228,1172,265,6167,1821,1097,380
77228,1172,7571,6166,1821,1094,381
77228,1172,676,6167,1821,1098,379
