TempoLeituraSD,TempoNormalizacao,TempoPreProcessamento,TempoFeatTempo,TempoFFT,TempoFeatFrequencia,TempoInferencia
70307,1172,670,6166,1819,1103,380
70318,1172,265,6166,1819,1103,378
70318,1172,7561,6167,1819,1100,380
70318,1172,671,6167,1819,1103,379
70318,1172,670,6166,1819,1104,379
70281,1172,264,6167,1819,1100,381
70281,1172,7566,6166,1819,1105,379
70281,1172,676,6167,1819,1104,379
70281,1172,668,6167,1819,1105,380
77177,1172,264,6167,1819,1104,380
77177,1172,7566,6168,1818,1104,378
77177,1172,667,6166,1819,1104,380
77177,1172,668,6166,1819,1101,380
70319,1172,264,6168,1818,1102,379
70319,1172,9347,6166,1819,1103,379
70319,1172,669,6167,1819,1104,380
70319,1172,668,6167,1819,1103,381
70370,1172,264,6167,1819,1102,379
70370,1172,7562,6167,1819,1102,381
70370,1172,678,6167,1818,1101,380
70370,1172,670,6166,1819,1102,380
70343,1171,264,6166,1819,1099,379
70343,1171,7565,6167,1819,1104,380
70343,1171,676,6167,1819,1103,380
70343,1171,669,6167,1819,1105,380
70357,1172,264,6167,1819,1105,379
70357,1172,7564,6166,1819,1099,380
70357,1172,672,6167,1819,1102,379
70357,1172,670,6166,1819,1103,379
79513,1172,264,6167,1819,1102,380
79513,1172,7563,6166,1819,1103,380
79513,1172,669,6168,1818,1105,379
79513,1172,675,6166,1819,1104,380
75946,1172,264,6167,1818,1106,380
75946,1172,7565,6167,1819,1103,380
75946,1172,670,6166,1819,1103,380
75946,1172,670,6167,1819,1104,380
70319,1172,264,6167,1819,1102,380
70319,1172,7570,6167,1819,1104,380
70319,1172,677,6166,1819,1103,380
70319,1172,669,6166,1819,1104,380
77189,1171,264,6167,1819,1103,379
77189,1171,7562,6167,1819,1101,380
77189,1171,672,6167,1819,1105,380
77189,1171,2461,6166,1818,1104,380
70294,1171,264,6166,1819,1102,380
70294,1171,7569,6167,1819,1103,380
70294,1171,670,6166,1818,1103,380
70294,1171,668,6167,1819,1104,381
70331,1172,263,6166,1819,1101,380
70331,1172,7568,6168,1818,1105,379
70331,1172,675,6167,1819,1101,380
70331,1172,670,6167,1819,1105,379
70345,1172,265,6167,1819,1104,379
70345,1172,7569,6167,1819,1105,380
70345,1172,676,6167,1819,1104,380
70345,1172,669,6167,1819,1102,379
70370,1172,264,6166,1819,1100,380
70370,1172,7564,6166,1818,1103,379
70370,1172,2454,6167,1819,1104,379
70370,1172,676,6167,1819,1105,381
70344,1173,264,6167,1819,1104,379
70344,1173,7570,6168,1818,1104,380
70344,1173,669,6167,1819,1102,380
70344,1173,669,6166,1819,1102,379
75622,1173,264,6167,1819,1103,380
75622,1173,7571,6167,1818,1103,379
75622,1173,669,6166,1818,1102,380
75622,1173,670,6167,1819,1102,379
70368,1172,265,6167,1818,1103,379
70368,1172,7564,6166,1819,1102,381
70368,1172,670,6166,1819,1101,378
70368,1172,670,6167,1819,1105,379
77228,1172,263,6166,1818,1104,380
77228,1172,9353,6167,1819,1102,379
77228,1172,670,6167,1819,1104,380
77228,1172,668,6167,1819,1104,380
70243,1172,264,6168,1818,1104,380
70243,1172,7567,6167,1819,1103,380
70243,1172,669,6167,1819,1103,379
70243,1172,670,6167,1819,1102,379
79639,1172,264,6168,1818,1102,379
79639,1172,7568,6166,1819,1101,380
79639,1172,670,6166,1819,1102,380
79639,1172,670,6167,1819,1103,379
70395,1172,264,6167,1819,1103,380
70395,1172,7570,6167,1819,1104,379
70395,1172,668,6167,1819,1104,380
70395,1172,668,6167,1819,1105,380
79626,1172,264,6167,1819,1103,380
79626,1172,7569,6167,1819,1103,379
79626,1172,669,6167,1819,1103,380
79626,1172,669,6166,1819,1105,380
70306,1172,265,6167,1819,1103,379
70306,1172,7564,6167,1818,1101,380
70306,1172,671,6167,1819,1102,381
70306,1172,670,6167,1819,1103,380
70356,1171,264,6167,1819,1101,380
70356,1171,7569,6166,1818,1104,379
70356,1171,675,6166,1819,1102,378
70356,1171,669,6166,1819,1105,379
75760,1171,264,6166,1819,1102,379
75760,1171,7563,6167,1819,1103,380
75760,1171,669,6167,1819,1103,380
75760,1171,2463,6166,1819,1103,379
77228,1172,264,6167,1819,1104,379
77228,1172,7568,6166,1819,1102,379
77228,1172,670,6168,1818,1104,380
77228,1172,669,6167,1819,1103,380
70330,1172,264,6167,1819,1104,380
70330,1172,7566,6167,1819,1101,379
70330,1172,670,6166,1819,1104,380
70330,1172,668,6167,1819,1104,379
70319,1172,264,6168,1818,1105,380
70319,1172,7567,6167,1819,1102,380
70319,1172,671,6167,1819,1102,379
70319,1172,670,6166,1819,1102,379
70394,1172,264,6166,1819,1101,380
70394,1172,7565,6167,1819,1101,380
70394,1172,2456,6166,1819,1101,380
70394,1172,670,6167,1819,1103,380
70356,1172,265,6166,1819,1103,380
70356,1172,7567,6167,1819,1104,380
70356,1172,669,6167,1819,1104,380
70356,1172,677,6167,1819,1103,380
70343,1172,264,6166,1819,1103,381
70343,1172,7570,6167,1819,1105,379
70343,1172,674,6166,1819,1105,379
70343,1172,677,6166,1818,1104,379
70306,1172,264,6167,1819,1102,379
70306,1172,7566,6167,1819,1103,379
70306,1172,669,6167,1819,1103,380
70306,1172,669,6166,1819,1104,380
70355,1171,264,6167,1819,1104,379
70355,1171,9351,6167,1819,1105,380
70355,1171,676,6167,1819,1105,379
70355,1171,676,6167,1819,1104,379
77241,1172,264,6166,1819,1104,380
77241,1172,7571,6167,1819,1102,378
