RMS,Variance,Skewness,Kurtosis,CrestFactor,ShapeFactor,ImpulseFactor,MarginFactor,Peak1,Peak2,Peak3,PeakLocs1,PeakLocs2,PeakLocs3,FAULT_ID
1901.294189,3616685.750000,-0.268684,5.871082,4.279193,1.542258,6.599621,21.789267,671880.812500,556565.312500,510685.218750,398.437500,2085.937500,375.000000,4
2113.712646,4469944.500000,0.158586,6.620535,5.289263,1.564482,8.274960,23.401144,651284.687500,607828.937500,520433.218750,421.875000,398.437500,492.187500,4
2089.136963,4366615.500000,0.303279,6.611599,5.351484,1.570673,8.405430,21.815077,702398.437500,620016.937500,529905.875000,398.437500,375.000000,914.062500,4
2094.276367,4388127.500000,0.328752,6.526678,5.338351,1.557123,8.312469,21.325426,742345.625000,658914.750000,569277.562500,398.437500,375.000000,2343.750000,4
2088.103760,4362222.000000,0.339927,6.594451,5.354132,1.558586,8.344873,21.390533,701550.250000,562211.750000,513285.093750,398.437500,375.000000,2343.750000,3
2067.535156,4276709.500000,0.170783,6.146071,5.049366,1.557386,7.863811,21.464079,541015.750000,510996.968750,451239.281250,726.562500,421.875000,703.125000,3
2145.756348,4606216.500000,0.282925,5.935958,4.865297,1.545358,7.518626,20.383673,758393.875000,586434.375000,510671.468750,398.437500,375.000000,421.875000,3
2164.643555,4687942.500000,0.267692,5.768335,4.822846,1.529024,7.374247,19.793230,843785.875000,642607.875000,431937.843750,398.437500,375.000000,1945.312500,4
2166.332031,4695123.000000,0.257657,5.759772,4.819087,1.541865,7.430381,20.220545,802406.250000,563944.062500,507037.531250,398.437500,375.000000,421.875000,4
2282.539307,5212176.500000,0.144508,5.186378,4.486250,1.526321,6.847460,19.661884,674211.875000,643284.500000,505864.875000,398.437500,421.875000,1664.062500,4
2243.854248,5037308.000000,0.120659,4.902785,4.388793,1.509852,6.626427,19.263775,739058.750000,575388.375000,496763.875000,398.437500,375.000000,890.625000,3
2232.913086,4988336.500000,0.111107,4.979904,4.410297,1.522189,6.713305,19.719711,795356.000000,653871.937500,480438.750000,398.437500,375.000000,890.625000,4
2227.325928,4963203.000000,0.120538,5.015347,4.421360,1.518281,6.712869,19.560673,777293.250000,583606.312500,493798.218750,398.437500,375.000000,867.187500,3
1990.265381,3963003.500000,0.288245,4.959732,4.003460,1.498407,5.998814,15.676139,683143.687500,662646.125000,399141.218750,398.437500,421.875000,1968.750000,4
1902.061646,3619210.000000,-0.048873,5.295928,4.189111,1.517444,6.356742,18.545208,663628.250000,542975.000000,406131.125000,398.437500,375.000000,1171.875000,4
1903.688843,3625794.750000,-0.060608,5.321374,4.185530,1.524711,6.381725,18.703051,698576.437500,607561.250000,396021.812500,398.437500,375.000000,1523.437500,4
1915.062012,3669232.750000,-0.072299,5.226818,4.160673,1.518954,6.319872,18.521778,619820.625000,515254.281250,428150.250000,398.437500,375.000000,1523.437500,3
2032.094849,4130835.000000,-0.196963,6.519339,4.401956,1.582546,6.966296,20.786160,510233.375000,477499.156250,466128.062500,398.437500,421.875000,773.437500,3
2170.990723,4715458.500000,-0.249659,6.671679,4.120327,1.573270,6.482385,21.453646,802876.125000,603741.250000,599955.250000,398.437500,2156.250000,375.000000,4
2147.935547,4615886.500000,-0.241225,6.892658,4.164553,1.590646,6.624331,22.134199,848907.375000,647559.750000,545525.937500,398.437500,375.000000,2156.250000,4
2164.047119,4685167.000000,-0.243294,6.747313,4.133547,1.582053,6.539493,21.829762,738273.000000,593222.750000,592992.750000,398.437500,375.000000,2132.812500,4
2238.659668,5013642.500000,-0.375612,6.150335,4.005879,1.549210,6.205948,20.470915,617409.375000,550647.125000,527379.062500,421.875000,398.437500,960.937500,4
2170.091309,4711442.000000,0.007699,6.068902,4.694233,1.552328,7.286992,21.139820,818829.375000,635715.437500,560748.562500,398.437500,1757.812500,421.875000,3
2184.768799,4775551.500000,0.015237,5.927956,4.662697,1.529379,7.131033,20.337458,862183.250000,610542.437500,574989.750000,398.437500,375.000000,1757.812500,4
2179.583740,4752718.000000,0.015334,5.960227,4.673789,1.526094,7.132643,20.158701,758537.812500,568016.375000,565110.625000,398.437500,1757.812500,375.000000,3
1926.164307,3711779.000000,0.258486,5.539321,5.288705,1.497968,7.922309,19.556732,485707.781250,437190.031250,397244.000000,421.875000,1781.250000,1921.875000,4
1988.815063,3957250.000000,0.049481,5.117838,4.569765,1.496983,6.840859,18.241003,597724.687500,413668.625000,399359.250000,398.437500,375.000000,984.375000,4
1974.473389,3900448.500000,0.054134,5.234057,4.602958,1.514663,6.971932,18.865129,622393.562500,471157.593750,404466.125000,398.437500,375.000000,960.937500,4
1962.183716,3851895.000000,0.061015,5.339544,4.631787,1.525078,7.063837,19.198538,564831.187500,428743.031250,409159.468750,398.437500,960.937500,375.000000,3
2129.520264,4536859.000000,0.032624,5.926249,4.267824,1.552811,6.627124,20.600956,581151.375000,552374.437500,493900.312500,421.875000,398.437500,351.562500,4
2088.416504,4363310.500000,0.007271,5.855938,4.136538,1.544117,6.387300,20.292997,710250.875000,575463.125000,502669.343750,398.437500,375.000000,1312.500000,4
2100.510498,4414295.500000,0.000126,5.743756,4.112721,1.525857,6.275424,19.592661,766622.437500,625092.625000,532540.937500,398.437500,375.000000,1429.687500,4
