RMS,Variance,Skewness,Kurtosis,CrestFactor,ShapeFactor,ImpulseFactor,MarginFactor,Peak1,Peak2,Peak3,PeakLocs1,PeakLocs2,PeakLocs3,FAULT_ID
2097.904297,4402565.000000,0.646883,12.355782,6.944651,1.908059,13.250805,38.402870,1087302.250000,865463.062500,772316.562500,1148.437500,1078.125000,1125.000000,3
1851.749023,3429738.500000,0.836667,17.697165,7.867812,2.050517,16.133080,46.912178,713058.687500,700859.562500,682571.250000,1148.437500,1078.125000,1125.000000,3
1807.081665,3266937.000000,0.910140,19.325375,8.062288,2.155732,17.380136,52.096130,713441.000000,707715.687500,600542.812500,1125.000000,1101.562500,1148.437500,4
1811.449341,3282775.250000,0.902037,19.138128,8.042849,2.099573,16.886549,47.875175,753061.000000,666762.875000,662552.875000,1125.000000,1148.437500,1101.562500,4
745.776245,556387.312500,0.232828,5.478588,4.327123,1.495622,6.471741,17.383921,239671.671875,210660.468750,180331.484375,1476.562500,1171.875000,1500.000000,3
1424.975708,2031190.250000,0.117668,13.067703,6.939735,1.822272,12.646088,38.298283,587170.187500,515855.750000,460033.375000,1125.000000,1101.562500,1148.437500,3
1451.462402,2107715.000000,0.094712,12.235367,6.813097,1.772168,12.073956,35.882584,657700.687500,532404.187500,526611.937500,1125.000000,1101.562500,1148.437500,4
1446.575439,2093563.000000,0.098060,12.399367,6.836113,1.814257,12.402469,38.590557,671899.500000,516402.593750,508072.156250,1125.000000,1101.562500,1148.437500,4
1961.425171,3848959.500000,0.025484,10.159093,5.866825,1.807468,10.604096,36.627598,1052522.625000,739781.437500,728097.187500,1148.437500,1125.000000,1078.125000,4
1553.517944,2414316.500000,-0.040896,16.908697,7.407277,1.899870,14.072863,47.583210,663288.750000,648479.312500,474162.187500,1148.437500,1125.000000,1195.312500,3
1528.988037,2338922.250000,-0.034978,17.942059,7.526114,1.959628,14.748383,50.536160,686317.625000,591678.625000,469774.062500,1125.000000,1148.437500,1101.562500,1
1526.266235,2330611.250000,-0.037275,18.069046,7.539535,1.978545,14.917313,51.465137,666860.000000,575043.312500,462769.593750,1125.000000,1148.437500,1101.562500,3
714.983032,511358.406250,0.084232,6.394461,4.937108,1.562153,7.712515,22.454937,176526.843750,166557.218750,162287.640625,1148.437500,1101.562500,1476.562500,1
1525.300415,2327637.500000,0.048880,18.266184,7.916572,2.055781,16.274740,53.301067,550336.812500,541366.125000,454590.281250,1125.000000,1101.562500,1054.687500,4
1526.853271,2332416.750000,0.056859,18.193136,7.908521,2.048262,16.198725,53.370300,566032.312500,537493.375000,440701.625000,1125.000000,1101.562500,1382.812500,2
1528.012573,2335941.000000,0.050572,18.138268,7.902520,2.040785,16.127344,53.266876,547915.062500,546095.312500,445982.625000,1125.000000,1101.562500,1382.812500,0
2029.914429,4122556.250000,0.036479,9.233560,5.948601,1.853534,11.025935,36.988865,1049180.000000,948353.000000,680655.812500,1148.437500,1078.125000,1125.000000,3
1514.921753,2296087.000000,0.042225,11.253501,5.536896,1.864368,10.322810,36.535839,667313.000000,637097.750000,543910.562500,1148.437500,1125.000000,1101.562500,3
1514.121094,2293675.000000,0.029573,11.275504,5.539824,1.854211,10.272001,35.447575,677446.312500,634026.187500,539339.500000,1148.437500,1125.000000,1101.562500,3
1518.161255,2305907.000000,0.042873,11.161084,5.525081,1.842755,10.181372,35.056263,654479.937500,617548.000000,545866.625000,1148.437500,1125.000000,1078.125000,0
